Track,Artist,Genre
Itch,Hockey Dad,|['australian garage punk', 'australian hip hop', 'australian indie', 'indie surf']|
Last Laugh,Illy,|['australian hip hop', 'australian indie', 'australian pop', 'australian trap']|
Feverbreak,Odette,|['australian hip hop', 'australian indie', 'australian pop']|
Reasons,San Cisco,|['australian hip hop', 'australian indie', 'australian pop', 'fremantle indie', 'indie pop', 'indietronica', 'metropopolis', 'perth indie']|
Shh!,Stand Atlantic,|['anthem emo', 'pixie', 'pop emo', 'pop punk']|
Lying On The Floor,Violent Soho,|['australian alternative rock', 'australian garage punk', 'australian indie', 'brisbane indie']|
Fruit,BRUX,[]
DIET_,Denzel Curry,|['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']|
NORTH,The Kite String Tangle,|['aussietronica', 'australian hip hop', 'australian indie', 'australian pop', 'brisbane indie', 'indietronica', 'vapor soul']|
Big Smoke,The Smith Street Band,|['aussie emo', 'australian garage punk', 'australian indie']|
INDIFFERENT (With Gordi),Willaris. K,['aussietronica']
Sidestep,CLYPSO,['australian r&b']
Time,Jack Garratt,['indie r&b']
Run,Joji,|['alternative r&b', 'viral pop']|
Know Your Worth,Khalid,|['alternative r&b', 'pop']|
This Selfish Love,Luca Brasi,|['aussie emo', 'australian garage punk', 'australian hip hop', 'australian indie', 'tassie indie']|
Fire & Fury,Overcoats,|['electropop', 'indie electropop', 'nyc pop', 'vapor soul']|
Freedom Fighter,#1 Dads,['australian indie']
RODENT,Agung Mango,|['australian trap', 'australian underground hip hop']|
You You,EGOISM,['sydney indie']
Still Standing,Kobie Dee,|['australian hip hop', 'australian trap', 'australian underground hip hop']|
